bankrupt,Pclass,grade,score
0,1,normal,24
0,3,good,
1,3,good,22
1,3,good,24
0,3,normal,19
0,2,normal,18
0,2,normal,19
1,3,normal,27
0,3,good,9
0,2,normal,36.5
0,2,normal,42
0,2,normal,51
1,1,good,22
0,3,normal,55.5
0,3,normal,40.5
0,*3,normal,
0,1,normal,51
1,3,good,16
0,3,normal,30
0,3,normal,
0,3,normal,
0,3,normal,44
1,2,good,40
0,3,normal,26
0,3,normal,17
0,3,normal,1
1,3,normal,9
1,1,good,
0,3,good,45
0,1,normal,
0,3,normal,28
0,1,normal,61
0,3,normal,4
1,3,good,1
0,3,normal,21
0,1,normal,56
0,3,normal,18
0,3,normal,
0,1,good,50
0,2,normal,30
0,3,normal,36
0,*3,good,
0,2,normal,
0,3,normal,9
1,2,normal,1
1,3,good,4
0,1,normal,
1,3,good,
1,1,normal,45
0,3,normal,40
0,3,normal,36
1,2,good,32
0,2,normal,19
1,3,good,19
1,2,normal,3
1,1,good,44
1,1,good,58
0,3,normal,
0,3,normal,42
1,3,good,
0,2,good,24
0,3,normal,28
0,3,normal,
0,3,normal,34
0,3,normal,45.5
1,3,normal,18
0,3,good,2
0,3,normal,32
1,3,normal,26
1,3,good,16
1,1,normal,40
0,3,normal,24
1,2,good,35
0,3,normal,22
0,2,normal,30
0,3,normal,
1,1,good,31
1,3,good,27
0,2,normal,42
1,1,good,32
0,2,normal,30
1,3,normal,16
0,2,normal,27
0,3,normal,51
0,3,normal,
1,1,normal,38
0,3,normal,22
1,2,normal,19
0,3,normal,20.5
0,2,normal,18
0,3,good,
1,1,good,35
0,3,normal,29
0,2,normal,59
1,3,good,5
0,2,normal,24
0,3,good,
0,2,normal,44
1,2,good,8
0,2,normal,19
0,2,normal,33
0,3,good,
1,3,good,
0,2,normal,29
0,3,normal,22
0,3,normal,30
0,1,normal,44
0,*3,good,25
1,2,good,24
1,1,normal,37
0,2,normal,54
0,3,normal,
0,3,good,29
0,1,normal,62
0,3,normal,30
0,3,good,41
1,3,good,29
1,1,good,
1,1,good,30
1,1,good,35
1,2,good,50
0,3,normal,
1,3,normal,3
0,1,normal,52
0,1,normal,40
0,3,good,
0,2,normal,36
0,3,normal,16
1,3,normal,25
1,1,good,58
1,1,good,35
0,1,normal,
1,3,normal,25
1,2,good,41
0,1,normal,37
1,3,good,
1,1,good,63
0,3,good,45
0,2,normal,
0,3,normal,7
1,3,good,35
0,3,normal,65
0,3,normal,28
0,3,normal,16
1,3,normal,19
0,1,normal,
0,3,normal,33
1,3,normal,30
0,3,normal,22
1,2,normal,42
1,3,good,22
1,1,good,26
1,1,good,19
0,2,normal,36
0,3,good,24
0,3,normal,24
0,1,normal,
0,3,normal,23.5
0,1,good,2
1,1,normal,
1,1,good,50
1,3,good,
1,3,normal,
0,3,normal,19
1,2,good,
0,3,normal,
1,1,normal,0.92
1,1,good,
1,1,good,17
0,2,normal,30
1,1,good,30
1,1,good,24
1,1,good,18
0,2,good,26
0,3,normal,28
0,2,normal,43
1,3,good,26
1,2,good,24
0,2,normal,54
1,1,good,31
1,1,good,40
0,3,normal,22
0,3,normal,27
1,2,good,30
1,2,good,22
0,3,normal,
1,1,good,36
0,3,normal,61
1,2,good,36
1,3,good,31
1,1,good,16
1,3,good,
0,1,normal,45.5
0,1,normal,38
0,3,normal,16
1,1,good,
0,3,normal,
0,1,normal,29
1,1,good,41
1,3,normal,45
0,1,normal,45
1,2,normal,2
1,1,good,24
0,2,normal,28
0,2,normal,25
0,2,normal,36
1,2,good,24
1,2,good,40
1,3,good,
1,3,normal,3
0,3,normal,42
0,3,normal,23
0,1,normal,
0,3,normal,15
0,3,normal,25
0,3,normal,
0,3,normal,28
1,1,good,22
0,2,good,38
1,3,good,
1,3,good,
0,3,normal,40
0,2,normal,29
0,3,good,45
0,3,normal,35
0,3,normal,
0,3,normal,30
1,1,good,60
1,3,good,
1,3,good,
1,1,good,24
1,1,normal,25
0,3,normal,18
0,3,normal,19
0,1,normal,22
0,3,good,3
1,1,good,
1,*3,good,22
0,1,normal,27
0,3,normal,20
0,3,normal,19
1,1,good,42
1,3,good,1
0,3,normal,32
1,1,good,35
0,3,normal,
0,2,normal,18
0,3,normal,1
1,2,good,36
0,3,normal,
1,2,good,17
1,1,normal,36
1,3,normal,21
0,3,normal,28
1,1,good,23
1,3,good,24
0,3,normal,22
0,3,good,31
0,2,normal,46
0,2,normal,23
1,2,good,28
1,3,normal,39
0,3,normal,26
0,3,good,21
0,3,normal,28
0,3,good,20
0,2,normal,34
0,3,normal,51
1,2,normal,3
0,3,normal,21
0,3,good,
0,3,normal,
0,3,normal,
1,1,good,33
0,2,normal,
1,3,normal,44
0,3,good,
1,2,good,34
1,2,good,18
0,2,normal,30
0,3,good,10
0,3,normal,
0,3,normal,21
0,3,normal,29
0,3,good,28
0,*3,normal,18
0,3,normal,
1,2,good,28
1,2,good,19
0,3,normal,
1,3,normal,32
1,1,normal,28
1,3,good,
1,2,good,42
0,3,normal,17
0,1,normal,50
1,1,good,14
0,3,good,21
1,2,good,24
0,1,normal,64
0,2,normal,31
1,2,good,45
0,3,normal,20
0,3,normal,25
1,2,good,28
1,3,normal,
1,1,normal,4
1,2,good,13
1,1,normal,34
1,*3,good,5
1,1,normal,52
0,2,normal,36
0,3,normal,
0,1,normal,30
1,1,normal,49
0,3,normal,
1,3,normal,29
0,1,normal,65
1,1,good,
1,2,good,50
0,3,normal,
1,1,normal,48
0,3,normal,34
0,1,normal,47
0,2,normal,48
0,3,normal,
0,3,normal,38
0,2,normal,
0,1,normal,56
0,3,normal,
1,3,good,0.75
0,3,normal,
0,*3,normal,38
1,2,good,33
1,2,good,23
0,3,good,22
0,1,normal,
0,2,normal,34
0,3,normal,29
0,3,normal,22
1,3,good,2
0,3,normal,9
0,2,normal,
0,3,normal,50
1,3,good,63
1,1,normal,25
0,3,good,
1,1,good,35
0,1,normal,58
0,3,normal,30
1,3,normal,9
0,3,normal,
0,3,normal,21
0,1,normal,55
0,1,normal,71
0,3,normal,21
0,3,normal,
1,1,good,54
0,3,normal,
0,1,good,25
0,3,normal,24
0,3,normal,17
0,3,good,21
0,3,good,
0,3,good,37
1,1,good,16
0,1,normal,18
1,2,good,33
1,1,normal,
0,3,normal,28
1,3,normal,26
1,3,normal,29
0,3,normal,
1,1,normal,36
1,1,good,54
0,3,normal,24
0,1,normal,47
1,2,good,34
0,3,normal,
1,2,good,36
0,3,normal,32
1,1,good,30
0,3,normal,22
0,3,normal,
1,1,good,44
0,3,normal,
0,3,normal,40.5
1,2,good,50
0,1,normal,
0,3,normal,39
0,2,normal,23
1,2,good,2
0,3,normal,
0,3,normal,17
1,3,good,
0,3,good,30
1,2,good,7
0,1,normal,45
1,1,good,30
0,3,normal,
1,1,good,22
1,1,good,36
0,3,good,9
0,3,good,11
1,2,normal,32
0,1,normal,50
0,1,normal,64
1,2,good,19
1,2,normal,
0,*3,normal,33
1,2,normal,8
1,1,normal,17
0,2,normal,27
0,3,normal,
1,3,normal,22
1,3,good,22
0,1,normal,62
1,1,good,48
0,1,normal,
1,1,good,39
1,3,good,36
0,3,normal,
0,3,normal,40
0,2,normal,28
0,3,normal,
0,3,good,
0,3,normal,24
0,3,normal,19
0,3,good,29
0,3,normal,
1,3,normal,32
1,2,normal,62
1,1,good,53
1,1,normal,36
1,3,good,
0,3,normal,16
0,3,normal,19
1,2,good,34
1,1,good,39
0,3,good,
1,3,normal,32
1,2,good,25
1,1,good,39
0,2,normal,54
0,1,normal,36
0,3,normal,
1,1,good,18
0,2,normal,47
1,1,normal,60
0,3,normal,22
0,3,normal,
0,3,normal,35
1,1,good,52
0,3,normal,47
0,3,good,
0,2,normal,37
0,3,normal,36
1,2,good,
0,3,normal,49
0,3,normal,
1,1,normal,49
1,2,good,24
0,3,normal,
0,1,normal,
0,3,normal,44
1,1,normal,35
0,3,normal,36
0,3,normal,30
1,1,normal,27
1,2,good,22
1,1,good,40
0,3,good,39
0,3,normal,
1,3,good,
0,3,normal,
0,3,normal,35
1,2,good,24
0,3,normal,34
0,3,good,26
1,2,good,4
0,2,normal,26
0,3,normal,27
1,1,normal,42
1,3,normal,20
0,3,normal,21
0,3,normal,21
0,1,normal,61
0,2,normal,57
1,1,good,21
0,3,normal,26
0,3,normal,
1,1,normal,80
0,3,normal,51
1,1,normal,32
0,1,normal,
0,3,good,9
1,2,good,28
0,3,normal,32
0,2,normal,31
0,3,good,41
0,3,normal,
0,3,normal,20
1,1,good,24
0,3,good,2
1,3,normal,
1,3,good,0.75
1,1,normal,48
0,3,normal,19
1,1,normal,56
0,3,normal,
1,3,good,23
0,3,normal,
1,2,good,18
0,3,normal,21
1,3,good,
0,3,good,18
0,2,normal,24
0,3,normal,
0,3,good,32
0,2,normal,23
0,1,normal,58
1,1,normal,50
0,3,normal,40
0,1,normal,47
0,3,normal,36
1,3,normal,20
0,2,normal,32
0,2,normal,25
0,3,normal,
0,3,normal,43
1,1,good,
1,2,good,40
0,1,normal,31
0,2,normal,70
1,2,normal,31
0,2,normal,
0,3,normal,18
0,3,normal,24.5
1,3,good,18
0,3,good,43
1,1,normal,36
0,3,good,
1,1,normal,27
0,3,normal,20
0,3,normal,14
0,2,normal,60
0,2,normal,25
0,3,normal,14
0,3,normal,19
0,3,normal,18
1,1,good,15
1,1,normal,31
1,3,good,4
1,3,normal,
0,3,normal,25
0,1,normal,60
0,2,normal,52
0,3,normal,44
1,3,good,
0,1,normal,49
0,3,normal,42
1,1,good,18
1,1,normal,35
0,3,good,18
0,3,normal,25
0,3,normal,26
0,2,normal,39
1,2,good,45
1,1,normal,42
1,1,good,22
1,3,normal,
1,1,good,24
0,1,normal,
1,1,normal,48
0,3,normal,29
0,2,normal,52
0,3,normal,19
1,1,good,38
1,2,good,27
0,3,normal,
0,3,normal,33
1,2,good,6
0,3,normal,17
0,2,normal,34
0,2,normal,50
1,1,normal,27
0,3,normal,20
1,2,good,30
1,3,good,
0,2,normal,25
0,3,good,25
1,1,good,29
0,3,normal,11
0,2,normal,
0,2,normal,23
0,2,normal,23
0,3,normal,28.5
0,3,good,48
1,1,normal,35
0,3,normal,
0,3,normal,
1,1,normal,
0,1,normal,36
1,1,good,21
0,3,normal,24
1,3,normal,31
0,1,normal,70
0,3,normal,16
1,2,good,30
0,1,normal,19
0,3,normal,31
1,2,good,4
1,3,normal,6
0,3,normal,33
0,3,normal,23
1,2,good,48
1,2,normal,0.67
0,3,normal,28
0,2,normal,18
0,3,normal,34
1,1,good,33
0,3,normal,
0,3,normal,41
1,3,normal,20
1,1,good,36
0,3,normal,16
1,1,good,51
0,1,normal,
0,3,good,30.5
0,3,normal,
0,3,normal,32
0,3,normal,24
0,3,normal,48
0,2,good,57
0,3,normal,
1,2,good,54
0,3,normal,18
0,3,normal,
1,3,good,5
0,3,normal,
1,1,good,43
1,3,good,13
1,1,good,17
0,1,normal,29
0,3,normal,
0,3,normal,25
0,3,normal,25
1,3,good,18
0,3,normal,8
1,3,normal,1
0,1,normal,46
0,3,normal,
0,2,normal,16
0,3,good,
0,1,normal,
0,3,normal,25
0,2,normal,39
1,1,good,49
1,3,good,31
0,3,normal,30
0,3,good,30
0,2,normal,34
1,2,good,31
1,1,normal,11
1,3,normal,0.42
1,3,normal,27
0,3,normal,31
0,1,normal,39
0,3,good,18
0,2,normal,39
1,1,good,33
0,3,normal,26
0,*3,normal,39
0,2,normal,35
0,3,good,6
0,*3,normal,30.5
0,1,normal,
0,3,good,23
0,2,normal,31
0,3,normal,43
0,3,normal,10
1,1,good,52
1,3,normal,27
0,1,normal,38
1,3,good,27
0,3,normal,2
0,3,normal,
0,3,normal,
1,2,normal,1
1,3,normal,
1,1,good,62
1,3,good,15
1,2,normal,0.83
0,3,normal,
0,3,normal,23
0,3,normal,18
1,1,good,39
0,3,normal,21
0,3,normal,
1,3,normal,32
1,1,normal,
0,3,normal,20
0,2,normal,16
1,1,good,30
0,3,normal,34.5
0,3,normal,17
0,3,normal,42
0,3,normal,
0,3,normal,35
0,2,normal,28
1,1,good,
0,3,normal,4
0,3,normal,74
0,3,good,9
1,1,good,16
0,2,good,44
1,3,good,18
1,1,good,45
1,1,normal,51
1,3,good,24
0,3,normal,
0,3,normal,41
0,2,normal,21
1,1,good,48
0,*3,good,
0,2,normal,24
1,2,good,42
1,2,good,27
0,1,normal,31
0,3,normal,
1,3,normal,4
0,3,normal,26
1,1,good,47
0,1,normal,33
0,3,normal,47
1,2,good,28
1,3,good,15
0,3,normal,20
0,3,normal,19
0,3,normal,
1,1,good,56
1,2,good,25
0,3,normal,33
0,3,good,22
0,2,normal,28
0,3,normal,25
0,3,good,39
0,2,normal,27
1,1,good,19
0,3,good,
1,1,normal,26
0,3,normal,32
