무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,가나다,OBJECTID,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
완산방-11,전라북도,전주시 덕진구,시도,,삼천천변1길,3,전라북도 전주시 완산구 삼천천변1길 16,전라북도 전주시 완산구 삼천동1가 765-2,삼천3동,2230,35.79494464,127.1117956,용흥초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-85,전라북도,전주시 완산구,시도,,강변로,3,전라북도 전주시 완산구 장승배기로 13,전라북도 전주시 완산구 삼천동1가 766-1,삼천3동,2230,35.79316275,127.1144878,삼천주공5단지 후문 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-3,전라북도,전주시 완산구,시도,,장승배기로,3,,전라북도 전주시 완산구 삼천동2가 298-2,삼천3동,2230,35.79116937,127.110723,삼천동1가298-2,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산어-1,전라북도,전주시 덕진구,시도,,서학로,3,전라북도 전주시 완산구 서학로 12,전라북도 전주시 완산구 서서학동 189-4,서서학동,2222,35.80964142,127.1507065,전주교대부설초등학교 후문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산방-1,전라북도,전주시 덕진구,시도,,장승배기로,3,전라북도 전주시 완산구 장승배기로 376,전라북도 전주시 완산구 서서학동 962-1,서서학동,2222,35.80318261,127.1510675,남초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-154,전라북도,전주시 완산구,시도,,전룡로,3,,전라북도 전주시 완산구 서신동 21-5,서신동,2227,35.82883572,127.1245559,서신아이파크e-편한세상 남문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산방-5,전라북도,전주시 덕진구,시도,,전룡로,3,전라북도 전주시 완산구 전룡로 119,전라북도 전주시 완산구 서신동 31-1,서신동,2227,35.8296453,127.1248724,서신초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-155,전라북도,전주시 완산구,시도,,전룡로,3,전라북도 전주시 완산구 전룡로 127,전라북도 전주시 완산구 서신동 51-7,서신동,2227,35.82926535,127.126401,서신아이파크e-편한세상 106동 인근,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-156,전라북도,전주시 완산구,시도,,전주천서로,3,,전라북도 전주시 완산구 서신동 738-16,서신동,2227,35.83067204,127.1271533,서신아이파크e-편한세상 동문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산방-7,전라북도,전주시 덕진구,시도,,당산로,3,전라북도 전주시 완산구 당산로 9,전라북도 전주시 완산구 서신동 761-3,서신동,2227,35.83212534,127.1082808,서천초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-14,전라북도,전주시 완산구,시도,,당산로,3,전라북도 전주시 완산구 당산로 39,전라북도 전주시 완산구 서신동 764-2,서신동,2227,35.83234504,127.1127268,서신 제일비사벌 정문앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-15,전라북도,전주시 완산구,시도,,당산로,3,전라북도 전주시 완산구 당산로 111,전라북도 전주시 완산구 서신동 767,서신동,2227,35.83259053,127.1204481,이마트(서신동)서쪽삼거리,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-16,전라북도,전주시 완산구,시도,,서신천변 14길,3,전라북도 전주시 완산구 당산로 56,전라북도 전주시 완산구 서신동 795,서신동,2227,35.83159158,127.1144504,서신동 공영주차장,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-17,전라북도,전주시 완산구,시도,,서신로,3,전라북도 전주시 완산구 서신로 54,전라북도 전주시 완산구 서신동 812,서신동,2227,35.83001007,127.116031,서신동 주민센터~신협 사이,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산어-5,전라북도,전주시 덕진구,시도,,서신천변11길,3,전라북도 전주시 완산구 서신천변11길 19,전라북도 전주시 완산구 서신동 820,서신동,2227,35.82984999,127.1120592,서문초등학교 후문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-18,전라북도,전주시 완산구,시도,,서신로,3,전라북도 전주시 완산구 서신로 25,전라북도 전주시 완산구 서신동 839-2,서신동,2227,35.82768101,127.1155913,서신동 신협 맞은편,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산어-9,전라북도,전주시 덕진구,시도,,고사평8길,3,전라북도 전주시 완산구 고사평8길 11,전라북도 전주시 완산구 서신동 923,서신동,2227,35.83743707,127.1111606,여울초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-84,전라북도,전주시 완산구,시도,,여울로,3,전라북도 전주시 완산구 여울로 79-1,전라북도 전주시 완산구 서신동 960-2,서신동,2227,35.8374086,127.1154577,대우아파트 진입로,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산어-7,전라북도,전주시 덕진구,시도,,새터로,3,전라북도 전주시 완산구 새터로 73,전라북도 전주시 완산구 서신동 960-4,서신동,2227,35.83624593,127.1147515,서일초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-19,전라북도,전주시 완산구,시도,,서신로,3,전라북도 전주시 완산구 서신로 105,전라북도 전주시 완산구 서신동 963-5,서신동,2227,35.83482687,127.1156218,박천수 정형외과 옆건물,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-20,전라북도,전주시 완산구,시도,,새터로,3,전라북도 전주시 완산구 새터로 120,전라북도 전주시 완산구 서신동 967-1,서신동,2227,35.83539352,127.1198314,대창아파트옆 선수촌공원 천변쪽,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-21,전라북도,전주시 완산구,시도,,온고을로,3,전라북도 전주시 완산구 온고을로 18,전라북도 전주시 완산구 서신동 970-5,서신동,2227,35.834173,127.1210352,통일광장 롯데백화점,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진방-11,전라북도,전주시 덕진구,시도,,솔래9길,3,전라북도 전주시 덕진구 천마산로 16,전라북도 전주시 덕진구 송천동1가 107-1,송천1동,2249,35.86337797,127.1243496,송북초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-25,전라북도,전주시 덕진구,시도,,송천중앙로,3,전라북도 전주시 덕진구 송천중앙로 82,전라북도 전주시 덕진구 송천동1가 281-1,송천1동,2249,35.85457451,127.12046,롯데마트 송천점 북,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-24,전라북도,전주시 덕진구,시도,,송천중앙로,3,전라북도 전주시 덕진구 송천중앙로 70,전라북도 전주시 덕진구 송천동1가 283-1,송천1동,2249,35.85353906,127.1200093,롯데마트 송천점 남,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-58,전라북도,전주시 덕진구,시도,,송천중앙로,3,전라북도 전주시 덕진구 송천중앙로 162,전라북도 전주시 덕진구 송천동1가 488-2,송천1동,2249,35.86123541,127.1218046,송천우체국 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진방-13,전라북도,전주시 덕진구,시도,,신동초길,3,전라북도 전주시 덕진구 솔내로 211,전라북도 전주시 덕진구 송천동2가 1269,송천1동,2249,35.86895422,127.1266587,신동초등학교(후문→정문이설),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-126,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 212,전라북도 전주시 덕진구 송천동2가 1296,송천1동,2249,35.88074808,127.1287038,데시앙14블럭 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-91,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 184,전라북도 전주시 덕진구 송천동2가 1298,송천1동,2249,35.88124098,127.1311214,에코시티kcc스위첸정문앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-94,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 184,전라북도 전주시 덕진구 송천동2가 1298,송천1동,2249,35.88124098,127.1311214,에코시티kcc스위첸근린생활시설주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-93,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 174-21,전라북도 전주시 덕진구 송천동2가 1299-2,송천1동,2249,35.88048111,127.1341602,에코시티kcc스위첸후문주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-92,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 174-11,전라북도 전주시 덕진구 송천동2가 1299-5,송천1동,2249,35.87953904,127.1336672,에코시티kcc스위첸상가신호등주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-79,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 131,전라북도 전주시 덕진구 송천동2가 1307,송천1동,2249,35.87618178,127.1342432,에코시티 자이2차 주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-69,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 111,전라북도 전주시 덕진구 송천동2가 1308,송천1동,2249,35.87454355,127.1352299,자이1차 정문 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-86,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 93,전라북도 전주시 덕진구 송천동2가 1309,송천1동,2249,35.87286388,127.1337827,에코시티 데시앙 5단지 주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-70,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 41,전라북도 전주시 덕진구 송천동2가 1311,송천1동,2249,35.87440204,127.1298461,에코시티더 샵 아파트 상가주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-108,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 30,전라북도 전주시 덕진구 송천동2가 1326-9,송천1동,2249,35.8735992,127.1280028,에코시티 회전교차로 옆,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-131,전라북도,전주시 덕진구,시도,,세병1길,3,,전라북도 전주시 덕진구 송천동2가 1329-1,송천1동,2249,35.8730537,127.1246081,에코로마네시티 사거리,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-132,전라북도,전주시 덕진구,시도,,과학로,3,전라북도 전주시 덕진구 과학로 20,전라북도 전주시 덕진구 송천동2가 1332-1,송천1동,2249,35.87197561,127.1227217,이마트 에코시티점 삼거리,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-71,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 38,전라북도 전주시 덕진구 송천동2가 1338,송천1동,2249,35.87320591,127.1288328,에코시티더 샵 1차 정문 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-121,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 112,전라북도 전주시 덕진구 송천동2가 1343,송천1동,2249,35.87277877,127.1353416,데시앙네스트2차 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-122,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 112,전라북도 전주시 덕진구 송천동2가 1343,송천1동,2249,35.87277877,127.1353416,데시앙네스트2차 후문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-112,전라북도,전주시 덕진구,시도,,세병로,3,전라북도 전주시 덕진구 세병로 130,전라북도 전주시 덕진구 송천동2가 1345,송천1동,2249,35.87524058,127.1367375,에코 데시앙네스트 정문앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-89,전라북도,전주시 덕진구,시도,,세병로,3,,전라북도 전주시 덕진구 송천동2가 1381,송천1동,2249,35.87970591,127.1340752,에코시티 데시앙 12단지 주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-88,전라북도,전주시 덕진구,시도,,세병로,3,,전라북도 전주시 덕진구 송천동2가 1383,송천1동,2249,35.87634899,127.1371413,에코시티 더 샵 3차 정문 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-87,전라북도,전주시 덕진구,시도,,백석로,3,,전라북도 전주시 덕진구 송천동2가 1384,송천1동,2249,35.87235422,127.1350066,에코시티 데시앙 7단지 주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-68,전라북도,전주시 덕진구,시도,,세병로,3,,전라북도 전주시 덕진구 송천동2가 1391,송천1동,2249,35.87416114,127.1290756,데시앙4차 후문 주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-133,전라북도,전주시 덕진구,시도,,세병서로,3,,전라북도 전주시 덕진구 송천동2가 1400,송천1동,2249,35.87206246,127.1230226,이마트 에코시티점 사거리,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-57,전라북도,전주시 덕진구,시도,,천마산로,3,전라북도 전주시 덕진구 천마산로 69,전라북도 전주시 덕진구 송천동2가 175-22,송천1동,2249,35.86587029,127.1284673,오송중학교 주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진방-15,전라북도,전주시 덕진구,시도,,오송초길,3,전라북도 전주시 덕진구 천마산로 87,전라북도 전주시 덕진구 송천동2가 179-23,송천1동,2249,35.86597905,127.1304116,오송초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-107,전라북도,전주시 덕진구,시도,,송천중앙로,3,전라북도 전주시 덕진구 송천중앙로 218,전라북도 전주시 덕진구 송천동2가 523-6,송천1동,2249,35.86649306,127.1217957,송천중앙로 먹자골목입구,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-22,전라북도,전주시 덕진구,시도,,송천로,3,전라북도 전주시 덕진구 호반로 11,전라북도 전주시 덕진구 송천동1가 308-1,송천2동,2250,35.85400329,127.1167207,센트럴파크 단지 사잇길(터존),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
